id,questionText,option1,option2,option3,correctOption,explanation
77,"What does the onStop() lifecycle method signify for an Activity?","The Activity is fully visible","The Activity is no longer visible","The Activity is about to be destroyed",2,"onStop() is called when the Activity is no longer visible."
78,"Which Android feature enables observing data changes and automatically updating the UI?","LiveData","ViewModel","WorkManager",1,"LiveData observes data changes and automatically updates the UI."
79,"What is the purpose of the Android Paging library?","Handling network requests","Efficiently loading large datasets into RecyclerView","Rendering complex animations",2,"Paging helps manage large datasets by loading them in chunks as the user scrolls."
80,"What is the main role of the Android Navigation Component?","Improving app performance","Managing app navigation flow","Handling data binding",2,"The Navigation Component simplifies and centralizes navigation logic in Android applications."
81,"Which class would you use to read and write files in Android internal storage?","FileInputStream","FileReader","FileManager",1,"FileInputStream and FileOutputStream are commonly used for reading and writing internal files."
82,"What is the primary role of the ConstraintLayout in Android?","Arranging views in rows","Providing a flat and flexible hierarchy","Enabling scrolling behavior",2,"ConstraintLayout allows for a flat, flexible layout system that can handle complex alignments."
83,"Which of the following Android classes would you use for scheduled tasks?","IntentService","JobScheduler","ContentResolver",2,"JobScheduler is used to schedule and run tasks at specified times or conditions."
84,"What is the main advantage of using Kotlin for Android development?","Better network handling","Null safety and concise syntax","Improved graphics performance",2,"Kotlin offers null safety, concise syntax, and seamless interop with Java."
85,"Which Android class provides a mechanism to receive broadcasts about system or application events?","ContentProvider","BroadcastReceiver","JobScheduler",2,"BroadcastReceiver listens for system or application broadcasts."
86,"What is the role of the Android ViewGroup class?","Rendering animations","Grouping multiple views into a single container","Handling background tasks",2,"ViewGroup is a container that holds multiple child views, arranging them on the screen."
87,"Which API is commonly used for implementing in-app billing in Android?","Google Play Billing Library","Android Billing Manager","InAppPurchase API",1,"The Google Play Billing Library simplifies in-app purchases on Android."
88,"What is the main purpose of using ProGuard in an Android project?","Improving graphics performance","Obfuscating and optimizing code","Simplifying database queries",2,"ProGuard obfuscates and shrinks the code, making it harder to reverse-engineer and improving APK size."
89,"Which lifecycle method is called when an Activity is created for the first time?","onStart()","onCreate()","onResume()",2,"onCreate() is the first lifecycle callback when an Activity is launched."
90,"Which tool would you use to check for unused resources in your Android project?","ProGuard","Android Lint","Android Layout Inspector",2,"Lint can identify unused resources, helping reduce app size."
91,"Which Android feature helps reduce the size of APKs by removing unused code?","ProGuard","Gradle","Lint",1,"ProGuard reduces APK size by obfuscating and removing unused code."
92,"What is the function of a ContentResolver in Android?","To manage UI layouts","To provide access to data stored by a ContentProvider","To handle network requests",2,"ContentResolver is used to query and manipulate data exposed by a ContentProvider."
93,"Which class is used to handle operations on a background thread in Android?","HandlerThread","AsyncTask","Service",1,"HandlerThread provides a background thread with a looper to handle message processing."
94,"What is the purpose of the DataBinding library in Android?","Improving database queries","Simplifying XML to UI code binding","Enhancing app performance",2,"DataBinding helps bind XML layouts directly to data sources, reducing boilerplate code."
95,"Which component is responsible for managing app permissions in Android?","BroadcastReceiver","PermissionManager","PackageManager",3,"PackageManager handles permission requests and checks."
96,"What is the main advantage of Jetpack Compose over traditional Android Views?","Better compatibility with older Android versions","Simpler, declarative syntax","Improved performance on older devices",2,"Jetpack Compose uses a modern declarative syntax to build UI."
97,"Which class is used to create notifications in Android?","NotificationCompat.Builder","AlertDialog","NotificationManager",1,"NotificationCompat.Builder helps create and customize notifications."
98,"What is the difference between MATCH_PARENT and WRAP_CONTENT in Android layouts?","MATCH_PARENT fills the parent dimension; WRAP_CONTENT adjusts to content size","WRAP_CONTENT fills the parent dimension; MATCH_PARENT adjusts to content size","Both have the same behavior",1,"MATCH_PARENT fills the parent’s dimension, while WRAP_CONTENT adjusts to the content’s size."
99,"Which Android component is primarily used to display long lists or grids of data?","RecyclerView","ScrollView","ViewPager",1,"RecyclerView is designed to efficiently handle large sets of data and display them in lists or grids."
100,"What is the purpose of the Android MotionLayout?","To simplify RecyclerView animations","To create complex motion and transition animations","To improve networking performance",2,"MotionLayout helps developers create advanced motion and transitions within the layout."
